ID,Código Centro,Municipio,Territorio,Tipo Servicio,Clientes Afectados,Fecha Inicio Corte,Estimación Inicial,Estimación Actual,Veces Aplazado,Última Act. API,Causa,Latitud,Longitud,Primera Detección DB,Última Detección DB,Resuelto En,Estado
1,22651,Conil de la Frontera,AND,GM,14,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 16:30,2,26/08/2026 15:15,Avería,36.30768786,-6.06727047,2026-08-26 13:23:56,2026-08-26 13:16:39,2026-08-26 16:05:54,RESOLVED
2,22653,Conil de la Frontera,AND,GM,166,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 18:00,3,26/08/2026 16:30,Avería,36.29197794,-6.10686839,2026-08-26 13:23:56,2026-08-26 14:30:45,,ACTIVE
3,81129,Conil de la Frontera,AND,GM,8,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 16:30,2,26/08/2026 15:15,Avería,36.30237884,-6.07199131,2026-08-26 13:23:56,2026-08-26 13:16:39,2026-08-26 16:05:54,RESOLVED
4,77678,Conil de la Frontera,AND,GM,1,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 18:00,3,26/08/2026 16:30,Avería,36.29363171,-6.10924983,2026-08-26 13:23:56,2026-08-26 14:30:45,,ACTIVE
5,76499,Conil de la Frontera,AND,GM,63,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 18:00,3,26/08/2026 16:30,Avería,36.29390209,-6.11148284,2026-08-26 13:23:56,2026-08-26 14:30:45,,ACTIVE
6,76500,Conil de la Frontera,AND,GM,84,26/08/2026 08:30,26/08/2026 13:30,26/08/2026 18:00,3,26/08/2026 16:30,Avería,36.29615095,-6.11592889,2026-08-26 13:23:56,2026-08-26 14:30:45,,ACTIVE
